Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:10:41.754000,HAM,44,0 days 00:02:08.072000,1.0,1.0,0 days 00:08:34.412000,,0 days 00:00:32.836000,0 days 00:00:35.062000,0 days 00:01:00.174000,0 days 00:09:06.581000,0 days 00:09:41.596000,0 days 00:10:41.868000,99.0,245.0,300.0,240.0,False,ULTRASOFT,1.0,True,Mercedes,0 days 00:08:34.412000,2018-06-23 14:04:34.478,,,False,,False,False
0 days 00:12:13.343000,HAM,44,0 days 00:01:31.589000,2.0,1.0,,,0 days 00:00:22.977000,0 days 00:00:28.007000,0 days 00:00:40.605000,0 days 00:11:04.731000,0 days 00:11:32.738000,0 days 00:12:13.343000,117.0,282.0,301.0,329.0,True,ULTRASOFT,2.0,True,Mercedes,0 days 00:10:41.754000,2018-06-23 14:06:41.820,,,False,,False,False
0 days 00:14:12.993000,HAM,44,0 days 00:01:59.650000,3.0,1.0,,,0 days 00:00:33.028000,0 days 00:00:38.029000,0 days 00:00:48.593000,0 days 00:12:46.371000,0 days 00:13:24.400000,0 days 00:14:12.993000,84.0,252.0,297.0,269.0,False,ULTRASOFT,3.0,True,Mercedes,0 days 00:12:13.343000,2018-06-23 14:08:13.409,,,False,,False,False
0 days 00:15:44.264000,HAM,44,0 days 00:01:31.271000,4.0,1.0,,,0 days 00:00:22.822000,0 days 00:00:28.047000,0 days 00:00:40.402000,0 days 00:14:35.815000,0 days 00:15:03.862000,0 days 00:15:44.264000,123.0,279.0,297.0,324.0,True,ULTRASOFT,4.0,True,Mercedes,0 days 00:14:12.993000,2018-06-23 14:10:13.059,,,False,,False,False
0 days 00:18:20.287000,HAM,44,,5.0,1.0,,,0 days 00:00:37.994000,0 days 00:00:59.720000,0 days 00:00:58.316000,0 days 00:16:22.321000,0 days 00:17:21.995000,0 days 00:18:20.402000,64.0,249.0,301.0,98.0,False,ULTRASOFT,5.0,True,Mercedes,0 days 00:15:44.264000,2018-06-23 14:11:44.330,,,False,,False,False
0 days 00:19:51.783000,HAM,44,0 days 00:01:31.496000,6.0,1.0,,,0 days 00:00:22.775000,0 days 00:00:28.076000,0 days 00:00:40.645000,0 days 00:18:43.062000,0 days 00:19:11.138000,0 days 00:19:51.783000,117.0,281.0,302.0,327.0,False,ULTRASOFT,6.0,True,Mercedes,0 days 00:18:20.287000,2018-06-23 14:14:20.353,,,False,,False,False
0 days 00:22:02.091000,HAM,44,0 days 00:02:10.308000,7.0,1.0,,,0 days 00:00:27.195000,0 days 00:00:53.586000,0 days 00:00:49.527000,0 days 00:20:18.978000,0 days 00:21:12.564000,0 days 00:22:02.091000,108.0,171.0,300.0,163.0,False,ULTRASOFT,7.0,True,Mercedes,0 days 00:19:51.783000,2018-06-23 14:15:51.849,,,False,,False,False
0 days 00:29:35.403000,HAM,44,,8.0,1.0,,0 days 00:23:34.194000,0 days 00:00:22.847000,0 days 00:00:28.121000,,0 days 00:22:25.011000,0 days 00:22:53.054000,,116.0,281.0,,325.0,False,ULTRASOFT,8.0,True,Mercedes,0 days 00:22:02.091000,2018-06-23 14:18:02.157,,,False,,False,False
0 days 00:31:41.738000,HAM,44,0 days 00:02:06.335000,9.0,2.0,0 days 00:29:36.098000,,0 days 00:00:33.551000,0 days 00:00:32,0 days 00:01:00.784000,0 days 00:30:08.954000,0 days 00:30:40.954000,0 days 00:31:41.738000,100.0,265.0,302.0,307.0,False,SUPERSOFT,1.0,True,Mercedes,0 days 00:29:35.403000,2018-06-23 14:25:35.469,,,False,,False,False
0 days 00:33:12.383000,HAM,44,0 days 00:01:30.645000,10.0,2.0,,,0 days 00:00:22.721000,0 days 00:00:27.842000,0 days 00:00:40.082000,0 days 00:32:04.459000,0 days 00:32:32.301000,0 days 00:33:12.383000,115.0,285.0,303.0,327.0,True,SUPERSOFT,2.0,True,Mercedes,0 days 00:31:41.738000,2018-06-23 14:27:41.804,,,False,,False,False
0 days 00:41:47.504000,HAM,44,,11.0,2.0,,0 days 00:35:03.659000,0 days 00:00:27.973000,0 days 00:00:34.883000,,0 days 00:33:40.374000,0 days 00:34:15.219000,,94.0,239.0,,258.0,False,SUPERSOFT,3.0,True,Mercedes,0 days 00:33:12.383000,2018-06-23 14:29:12.449,1,,False,,False,False
0 days 00:43:45.852000,HAM,44,0 days 00:01:58.348000,12.0,3.0,0 days 00:41:48.184000,,0 days 00:00:31.799000,0 days 00:00:31.932000,0 days 00:00:54.617000,0 days 00:42:19.303000,0 days 00:42:51.235000,0 days 00:43:45.852000,101.0,263.0,304.0,312.0,False,ULTRASOFT,1.0,True,Mercedes,0 days 00:41:47.504000,2018-06-23 14:37:47.570,1,,False,,False,False
0 days 00:52:11.005000,HAM,44,,13.0,3.0,,0 days 00:45:15.619000,0 days 00:00:22.388000,0 days 00:00:27.694000,,0 days 00:44:08.301000,0 days 00:44:35.929000,,121.0,283.0,,328.0,False,ULTRASOFT,2.0,True,Mercedes,0 days 00:43:45.852000,2018-06-23 14:39:45.918,1,,False,,False,False
0 days 00:54:09.534000,HAM,44,0 days 00:01:58.529000,14.0,4.0,0 days 00:52:11.768000,,0 days 00:00:32.797000,0 days 00:00:32.393000,0 days 00:00:53.339000,0 days 00:52:43.802000,0 days 00:53:16.195000,0 days 00:54:09.534000,101.0,263.0,306.0,300.0,False,ULTRASOFT,1.0,True,Mercedes,0 days 00:52:11.005000,2018-06-23 14:48:11.071,1,,False,,False,False
0 days 00:55:39.756000,HAM,44,0 days 00:01:30.222000,15.0,4.0,,,0 days 00:00:22.225000,0 days 00:00:27.585000,0 days 00:00:40.412000,0 days 00:54:31.759000,0 days 00:54:59.344000,0 days 00:55:39.756000,112.0,286.0,303.0,330.0,True,ULTRASOFT,2.0,True,Mercedes,0 days 00:54:09.534000,2018-06-23 14:50:09.600,1,,False,,False,True
0 days 01:06:25.524000,HAM,44,,16.0,4.0,,0 days 00:57:46.596000,0 days 00:00:30.359000,,,0 days 00:56:10.197000,,,92.0,,,,False,ULTRASOFT,3.0,True,Mercedes,0 days 00:55:39.756000,2018-06-23 14:51:39.822,125,,False,,False,False
0 days 01:08:18.931000,HAM,44,0 days 00:01:53.407000,17.0,5.0,0 days 01:06:26.171000,,0 days 00:00:31.846000,0 days 00:00:31.353000,0 days 00:00:50.208000,0 days 01:06:57.370000,0 days 01:07:28.723000,0 days 01:08:18.931000,102.0,267.0,305.0,311.0,False,ULTRASOFT,1.0,True,Mercedes,0 days 01:06:26.171000,2018-06-23 15:02:26.237,1,,False,,False,False
0 days 01:09:48.960000,HAM,44,0 days 00:01:30.029000,18.0,5.0,,,0 days 00:00:22.276000,0 days 00:00:27.821000,0 days 00:00:39.932000,0 days 01:08:41.207000,0 days 01:09:09.028000,0 days 01:09:48.960000,114.0,286.0,302.0,329.0,True,ULTRASOFT,2.0,True,Mercedes,0 days 01:08:18.931000,2018-06-23 15:04:18.997,1,,False,,False,True
0 days 01:11:40.437000,HAM,44,,19.0,5.0,,0 days 01:13:08.295000,0 days 00:00:32.349000,0 days 00:00:39.170000,0 days 00:00:39.932000,0 days 01:10:21.335000,0 days 01:11:00.511000,0 days 01:13:08.295000,100.0,183.0,,210.0,False,ULTRASOFT,3.0,True,Mercedes,0 days 01:09:48.960000,2018-06-23 15:05:49.026,1,,False,,False,False
0 days 00:10:15.279000,BOT,77,0 days 00:01:51.094000,1.0,1.0,0 days 00:08:24.892000,,0 days 00:00:30.162000,0 days 00:00:30.211000,0 days 00:00:50.721000,0 days 00:08:54.392000,0 days 00:09:24.582000,0 days 00:10:15.411000,109.0,279.0,299.0,312.0,False,ULTRASOFT,1.0,True,Mercedes,0 days 00:08:24.892000,2018-06-23 14:04:24.958,,,False,,False,False
