Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-09-26 11:01:05,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2021-09-26 11:20:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1.0
2021-09-26 11:30:01,Other,PIT EXIT CLOSED,,,,,,1.0
2021-09-26 11:45:12,Other,RISK OF RAIN FOR F1 RACE IS 70%,,,,,,1.0
2021-09-26 11:57:06,Drs,DRS DISABLED,DISABLED,,,,,1.0
2021-09-26 12:03:44,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1.0
2021-09-26 12:04:23,Other,TURN 2 INCIDENT NOTED,,,,,,1.0
2021-09-26 12:05:40,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 4,,,,,,2.0
2021-09-26 12:06:22,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,2.0
2021-09-26 12:06:41,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,2.0
2021-09-26 12:06:46,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 4,,,,,,2.0
2021-09-26 12:06:48,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,2.0
2021-09-26 12:07:43,Drs,DRS ENABLED,ENABLED,,,,,3.0
2021-09-26 12:07:56,Other,TURN 2 INCIDENT NO INVESTIGATION NECESSARY,,,,,,3.0
2021-09-26 12:09:55,Other,TURN 2 INCIDENT INVOLVING CAR 47 (MSC) NOTED ,,,,,,4.0
2021-09-26 12:10:59,Other,CAR 47 (MSC) TIME 1:44.586 DELETED - TRACK LIMITS AT TURN 2,,,,,,5.0
2021-09-26 12:13:02,Other,TURN 2 INCIDENT INVOLVING CAR 47 (MSC) NO INVESTIGATION NECESSARY ,,,,,,6.0
2021-09-26 12:32:45,Other,BLACK AND WHITE FLAG FOR CAR 9 (MAZ),,,,,,18.0
2021-09-26 12:35:43,Other,TURN 2 INCIDENT INVOLVING CAR 63 (RUS) NOTED,,,,,,19.0
2021-09-26 12:36:40,Other,CAR 63 (RUS) TIME 1:41.915 DELETED - TRACK LIMITS AT TURN 2,,,,,,20.0
2021-09-26 12:39:15,Other,TURN 2 INCIDENT INVOLVING CAR 63 (RUS) NO INVESTIGATION NECESSARY,,,,,,21.0
2021-09-26 12:53:55,CarEvent,CAR 18 (STR) OFF TRACK AND CONTINUED AT TURN 13,,,,,18,30.0
2021-09-26 12:54:23,Other,CORRECTION - CAR 5 (VET) OFF TRACK AND CONTINUED AT TURN 13,,,,,,30.0
2021-09-26 13:08:54,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:08:53,,BLUE,Driver,,9,39.0
2021-09-26 13:09:17,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:09:17,,BLUE,Driver,,9,39.0
2021-09-26 13:12:25,Other,CAR 77 (BOT) TIME 1:41.316 DELETED - TRACK LIMITS AT TURN 2,,,,,,41.0
2021-09-26 13:19:02,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:19:02,,BLUE,Driver,,9,45.0
2021-09-26 13:19:27,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:19:26,,BLUE,Driver,,9,46.0
2021-09-26 13:19:37,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:19:36,,BLUE,Driver,,9,46.0
2021-09-26 13:19:41,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:19:40,,BLUE,Driver,,9,46.0
2021-09-26 13:19:46,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:19:46,,BLUE,Driver,,9,46.0
2021-09-26 13:20:43,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:20:43,,BLUE,Driver,,9,46.0
